case_id,main_analytic,issue_check_pass,attention_pass,major_party_identifier,intent,vignette,candidate_party,party_bloc,party_id_detail,ingroup3,state,sex,sex_num,age,edu,hincome,ideology,ft_rul,ft_opp,cm_1,cm_2,cm_3,cm_4,cm_5,cm_1_bin,cm_2_bin,cm_3_bin,cm_4_bin,cm_5_bin,conspiracy,conspiracy_z,conspiracy_full,conspiracy_additive,negative,enthusiasm,competent,sincere,trustworthy,undemocratic_perception
478,1,1,0,0,2,Court,ruling,Independent,No party ID,Independent,VIC,female,0,20,1.5,0.9285714285714286,,0,0.15,17,5,5,4,4,1,1,1,1,1,0.9238988800202359,1.0190120720960938,0.8820945507762992,5,0,0,0.5,0,0,1
479,0,0,1,1,2,Election,ruling,opposition,Coalition,Out-group,TAS,male,1,60,0.5,0.5,0.16666666666666666,0.09,0.89,17,5,5,4,5,1,1,1,1,1,,,1.2253223939860112,5,0,0,0.25,0.5,0.5,0.5
480,0,0,1,0,2,Protests,ruling,Independent,No party ID,Independent,VIC,female,0,34,0,0.35714285714285715,,0,0.5,17,5,5,5,5,1,1,1,1,1,,,1.55958695335376,5,0,0,0.5,0.5,0.5,0.5
481,1,1,0,0,3,Control,opposition,Independent,No party ID,Independent,NSW,male,1,57,1,0.8571428571428571,0.5,0.32,0.32,16,5,4,3,4,1,1,1,0,1,0.2922456194906223,0.3223316108702535,0.24700650195991067,4,0,0,1,0.5,0.5,0
482,1,1,0,0,0,Court,ruling,Independent,No party ID,Independent,VIC,male,1,58,0.5,0.5714285714285714,0.5,0.4,0.395,14,4,2,1,2,0,1,0,0,0,-1.7913223104573968,-1.975734681409261,-1.8523974625702313,1,0.5,0,0,0.25,0,1
483,0,0,0,0,2,Election,opposition,Independent,No party ID,Independent,VIC,male,1,52,0,0.21428571428571427,,0.78,0,16,4,4,4,4,1,1,1,1,1,,,0.43849888084971844,5,0.375,0.25,0.75,0.5,1,0.25
484,1,1,0,0,2,Election,opposition,Independent,No party ID,Independent,QLD,female,0,59,0.5,0.5,,0.49,0.77,15,4,3,3,3,0,1,0,0,0,-0.501172951211054,-0.5527675144285322,-0.539817011176382,1,0,0,0.5,0.5,0.5,0.5
485,1,1,1,0,0,Protests,ruling,Independent,No party ID,Independent,TAS,male,1,61,0.5,0.5714285714285714,0.3333333333333333,0.35,0.025,16,4,3,3,4,1,1,0,0,1,-0.039438068594658385,-0.043498123947536715,-0.06648482243844296,3,0.5,0,0,0.25,0,1
486,0,0,1,0,0,Control,ruling,Independent,No party ID,Independent,QLD,female,0,4,1.5,0,0,0.9,0.8,13,2,4,1,3,0,0,1,0,0,,,-1.5833800380038032,1,0.375,0,1,0.25,0,0.75
487,0,0,1,1,0,Court,opposition,opposition,Coalition,In-group,VIC,female,0,56,0.5,0.35714285714285715,0.3333333333333333,0.3,0.35,14,2,4,2,2,0,0,1,0,0,,,-1.4622389763175394,1,0,0,0.5,0.5,0.25,0.75
